id,text,stars,categoria
1,"Esperaba algo mejor, la verdad. El escritorio de Rukan el tamaño real es bastante menor al que aparece en la descripción.",2,mueble
2,,3,electronica
3,Muy recomendado. Se nota el cuidado en los detalles y terminaciones. También combina perfecto con el resto de mi decoración.,5,textil
4,"No lo recomiendo para nada. Compré una agenda 2026 Fabril y el acabado tiene burbujas y marcas de fábrica. Sumado a eso, el color no se parece nada a la foto del sitio. Sumado a eso, olía fuerte a químico los primeros días. Además, el tamaño real es bastante menor al que aparece en la descripción. Una lástima, esperaba mucho más de esta marca.",1,papeleria
5,"Perfecto, tal cual se describe. Combina perfecto con el resto de mi decoración. Y de paso, el proceso de compra y despacho fue impecable.",5,papeleria
6,Cumple bien lo que promete. Se nota el cuidado en los detalles y terminaciones.,4,electronica
7,"Esperaba mucho más por el precio que pagué. Compré un organizador de escritorio Cordillera Home y se despegó una parte a la semana de uso. Y lo peor: el material se siente mucho más barato de lo que se ve en las fotos. Sumado a eso, el tamaño real es bastante menor al que aparece en la descripción. Por si fuera poco, el color no se parece nada a la foto del sitio. Pedí el reembolso y no pienso volver a comprar acá.",1,papeleria
8,Tiene varios detalles que no me convencieron. La repisa de Fabril el tamaño real es bastante menor al que aparece en la descripción.,2,mueble
9,Mesa de centro de Norden: funciona bien pero el color es más apagado de lo que pensé.,3,mueble
10,"Muy decepcionado con esta compra. Compré un organizador de escritorio Tallerín y faltaban tornillos y tuve que comprarlos por mi cuenta. Para peor, el tamaño real es bastante menor al que aparece en la descripción. Además, no coincide para nada con las medidas publicadas. Por si fuera poco, olía fuerte a químico los primeros días. Una lástima, esperaba mucho más de esta marca.",1,papeleria
11,"Perfecto, tal cual se describe. Es súper fácil de armar, en 10 minutos estaba listo. Además, llegó antes de lo prometido y muy bien embalado.",5,mueble
12,"Superó mis expectativas. La calidad de los materiales superó mis expectativas. Y de paso, es exactamente como se veía en las fotos.",5,papeleria
13,"Esperaba algo mejor, la verdad. El cargador rápido de Fabril venía con una pieza rota dentro de la caja.",2,electronica
14,Cumple bien lo que promete. El acabado se ve mucho más caro de lo que costó. Lo único es que el servicio al cliente no respondió ningún correo.,4,iluminacion
15,"Muy decepcionado con esta compra. Compré una mesa de centro Lumina y venía con una pieza rota dentro de la caja. Además, el material se siente mucho más barato de lo que se ve en las fotos. Una lástima, esperaba mucho más de esta marca.",1,mueble
16,"Superó mis expectativas. Combina perfecto con el resto de mi decoración. Además, es súper fácil de armar, en 10 minutos estaba listo.",5,papeleria
17,"Esperaba mucho más por el precio que pagué. Compré un organizador de escritorio Cordillera Home y no coincide para nada con las medidas publicadas. Y lo peor: llegó con un rayón visible en la superficie. Sumado a eso, el servicio al cliente no respondió ningún correo. Sumado a eso, el material se siente mucho más barato de lo que se ve en las fotos.",1,papeleria
18,Cumple bien lo que promete. Quedó espectacular en el living.,4,electronica
19,Superó mis expectativas. Combina perfecto con el resto de mi decoración.,5,electronica
20,"Esperaba algo mejor, la verdad. El aplique de pared de Bosque Design las instrucciones de armado están mal traducidas y no calzan con las piezas.",2,iluminacion
21,Superó mis expectativas. El acabado se ve mucho más caro de lo que costó.,5,textil
22,Increíble calidad. Quedó espectacular en el living.,5,mueble
23,"No lo recomiendo para nada. Compré un closet modular Fabril y el material se siente mucho más barato de lo que se ve en las fotos. Para peor, el color no se parece nada a la foto del sitio. Sumado a eso, llegó con un rayón visible en la superficie. Por si fuera poco, tuve que pagar de mi bolsillo la devolución, algo que no avisaron.",1,mueble
24,Bastante conforme con el producto. El acabado se ve mucho más caro de lo que costó. Lo único es que el material se siente mucho más barato de lo que se ve en las fotos.,4,textil
25,"Muy buena compra en general. Llegó antes de lo prometido y muy bien embalado. Lo único es que llegó golpeado por todos lados, el embalaje era pésimo.",4,papeleria
26,"Una de las peores experiencias de compra que he tenido. Compré un parlante bluetooth Cordillera Home y olía fuerte a químico los primeros días. Por si fuera poco, venía con una pieza rota dentro de la caja.",1,electronica
27,"Perfecto, tal cual se describe. Es súper fácil de armar, en 10 minutos estaba listo. También llegó antes de lo prometido y muy bien embalado.",5,papeleria
28,"Esperaba mucho más por el precio que pagué. Compré un escritorio Cordillera Home y el servicio al cliente no respondió ningún correo. Además, se despegó una parte a la semana de uso. Por si fuera poco, venía con una pieza rota dentro de la caja. Una lástima, esperaba mucho más de esta marca.",1,mueble
29,Muy buena compra en general. El acabado se ve mucho más caro de lo que costó.,4,electronica
30,"Tiene varios detalles que no me convencieron. La lámpara de pie de Norden llegó golpeado por todos lados, el embalaje era pésimo.",2,iluminacion
31,"Realmente una mala experiencia de principio a fin. Compré una alfombra Cordillera Home y venía con una pieza rota dentro de la caja. Además, las instrucciones de armado están mal traducidas y no calzan con las piezas. Por si fuera poco, se despegó una parte a la semana de uso.",1,textil
32,¡Excelente! Se nota el cuidado en los detalles y terminaciones. También el diseño es precioso y funcional a la vez.,5,papeleria
33,"Velador de Puno Studio: es correcto sin sorprender, cumple su función.",3,mueble
34,Lámpara de pie de Norden: el diseño me gusta pero la calidad es regular.,3,iluminacion
35,Increíble calidad. Es exactamente como se veía en las fotos.,5,mueble
36,Audífonos de Bosque Design: el diseño me gusta pero la calidad es regular.,3,electronica
37,Superó mis expectativas. Llegó antes de lo prometido y muy bien embalado.,5,papeleria
38,"No cumplió del todo mis expectativas. El parlante bluetooth de Puno Studio el material se siente mucho más barato de lo que se ve en las fotos. Eso sí, combina perfecto con el resto de mi decoración.",2,electronica
39,"Colgante led de Cordillera Home: llegó a tiempo, aunque el embalaje podría mejorar.",3,iluminacion
40,"Esperaba algo mejor, la verdad. La lámpara de pie de Puno Studio el material se siente mucho más barato de lo que se ve en las fotos. Eso sí, el acabado se ve mucho más caro de lo que costó.",2,iluminacion
41,"Muy recomendado. El acabado se ve mucho más caro de lo que costó. Y de paso, la calidad de los materiales superó mis expectativas.",5,papeleria
42,"Perfecto, tal cual se describe. La calidad de los materiales superó mis expectativas.",5,papeleria
43,"Superó mis expectativas. Se nota el cuidado en los detalles y terminaciones. Y de paso, combina perfecto con el resto de mi decoración.",5,mueble
44,Cumple bien lo que promete. Se nota el cuidado en los detalles y terminaciones.,4,iluminacion
45,"Muy decepcionado con esta compra. Compré un cuaderno de diseño Puno Studio y tuve que pagar de mi bolsillo la devolución, algo que no avisaron. Y lo peor: olía fuerte a químico los primeros días. Sumado a eso, venía con una pieza rota dentro de la caja. Una lástima, esperaba mucho más de esta marca.",1,papeleria
46,Closet modular de Cordillera Home: el diseño me gusta pero la calidad es regular.,3,mueble
47,"Esperaba mucho más por el precio que pagué. Compré un escritorio Rukan y no coincide para nada con las medidas publicadas. Además, el acabado tiene burbujas y marcas de fábrica. Para peor, tuve que pagar de mi bolsillo la devolución, algo que no avisaron. Para peor, venía con una pieza rota dentro de la caja.",1,mueble
48,"Realmente una mala experiencia de principio a fin. Compré una lámpara de pie Puno Studio y llegó con un rayón visible en la superficie. Para peor, venía con una pieza rota dentro de la caja. Pedí el reembolso y no pienso volver a comprar acá.",1,iluminacion
